Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
DEPT OF HEALTH/MENTAL HYGIENE,External,8,Clearance Administrator,COMMUNITY ASSOCIATE,Non-Competitive-5,"Health Public Safety, Inspections, & Enforcement",P,Entry-Level,20.9814,27.47,Hourly
DEPT. OF HOMELESS SERVICES,Internal,4,COMMUNITY ASSISTANT,COMMUNITY ASSISTANT,Non-Competitive-5,Administration & Human Resources Social Services,F,Experienced (non-manager),32520,42191,Annual
BRONX DISTRICT ATTORNEY,Internal,2,Crime Analyst - Rikers Island Prosecution Bureau,CRIME ANALYST,Competitive-1,"Technology, Data & Innovation Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),54786,54786,Annual
LAW DEPARTMENT,Internal,1,Deputy Chief of Fiscal,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),98353,98353,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Community Coordinator, Division Management & Systems Coordination",COMMUNITY COORDINATOR,Non-Competitive-5,Health,F,Experienced (non-manager),54100,73243,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,AGENCY CHIEF CONTRACTING OFFICE ENGINEER,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84451,113550,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Outreach Intern,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Policy, Research & Analysis",P,Student,15.5,19.9,Hourly
DEPT OF YOUTH & COMM DEV SRVS,External,1,Deputy Director of Budget Review,ADMINISTRATIVE CONTRACT SPECIA,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),58700,192152,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Product Owner/Business Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),70611,105138,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,2,Project Manager,GEOLOGIST,Competitive-1,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Entry-Level,49328,56727,Annual
DEPARTMENT OF CORRECTION,External,11,STATIONARY ENGINEER,STATIONARY ENGINEER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),508.8,508.8,Daily
DEPT OF YOUTH & COMM DEV SRVS,External,1,Education Specialist,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy Engineer in Charge, Infrastructure",ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Project Manager - IT,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),58700,125000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,ID Investigator Supervisor,CRIMINALIST,Non-Competitive-5,Health,,Experienced (non-manager),86520,86520,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Electrical Design Engineer,ELECTRICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),67757,98128,Annual
BRONX DISTRICT ATTORNEY,External,3,Digital Forensic Examiner,COMMUNITY COORDINATOR,Non-Competitive-5,"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75197,75197,Annual
NYC HOUSING AUTHORITY,External,1,Interpreter/Translator,INTERPRETER/TRANSLATOR,Non-Competitive-5,Administration & Human Resources,F,Experienced (non-manager),46231,69583,Annual
CONSUMER AND WORKER PROTECTION,External,1,Customer Service Representative,CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),32850,40017,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Painter,PAINTER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),315.07,315.07,Daily
DEPARTMENT OF TRANSPORTATION,Internal,1,Application Developer,IT AUTOMATION AND MONITORING E,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),75000,140000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,7,CLIENT ADVOCATE,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),53057,61015,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Senior Case Manager , Bureau of  Veterinary and Pest Control",ASSOCIATE PUBLIC HEALTH SANITA,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60437,69503,Annual
CIVILIAN COMPLAINT REVIEW BD,Internal,8,Administrative Prosecution Unit (APU) Prosecutor,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,Manager,58700,161534,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Design Lead,ELECTRICAL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),90114,122168,Annual
OFFICE OF THE COMPTROLLER,External,1,Contracts/Procurement Attorney,AGENCY ATTORNEY,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Entry-Level,75000,85000,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Analyst  Grant Monitoring,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),65604,83399,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,SENIOR PROCUREMENT COORDINATOR,ADM PROC ANAL-NM FRM M1-3,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),65232,151810,Annual
POLICE DEPARTMENT,External,1,Grant Writer/ Researcher,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Administration & Human Resources Policy, Research & Analysis",,Experienced (non-manager),75504,94761,Annual
FINANCIAL INFO SVCS AGENCY,Internal,1,LEAD PMO ANALYST,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),75000,120000,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Director of Tax Policy and Revenue Analysis,DIRECTOR OF BUDGET STUDIES,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,125000,145000,Annual
DEPARTMENT OF CORRECTION,External,1,Information Line Operator,CUSTOMER INFORMATION REP,Competitive-1,Constituent Services & Community Programs,F,Entry-Level,51340,55364,Annual
OFFICE OF THE COMPTROLLER,External,1,Risk Officer (Asset Management),INVESTMENT MANAGER (COMPTROLLE,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Manager,110000,133900,Annual
NYC HOUSING AUTHORITY,Internal,1,"Deputy Director, Investments",ADMINISTRATIVE CLAIM EXAMINER,Competitive-1,"Finance, Accounting, & Procurement",F,Manager,126000,192152,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Human Resources Assistant (College Aide),COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Administration & Human Resources Health,F,Student,15.5,16,Hourly
DEPT OF ENVIRONMENT PROTECTION,Internal,1,PAYMENT SPECIALIST,PROCUREMENT ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),50972,82730,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,5,Assistant Process Engineer,ASSISTANT ELECTRICAL ENGINEER,Competitive-1,"Constituent Services & Community Programs Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual
OFFICE OF THE COMPTROLLER,External,1,Deputy Director- Settlements and Adjudications,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,115000,125000,Annual
DEPARTMENT OF BUILDINGS,Internal,1,"Supervisor, Financial Compliance and Analysis",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),84451,99913,Annual
NYC HOUSING AUTHORITY,External,1,SUPERVISOR PLUMBER,SUPERVISOR PLUMBER,Competitive-1,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55.29,55.29,Hourly
LANDMARKS PRESERVATION COMM,External,4,"LANDMARKS PRESERVATIONIST, PRESERVATION DEPARTMENT",LANDMARKS PRESERVATIONIST,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),55910,64297,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Electrical Engineering Intern,ELECTRICAL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,51413,62260,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Engineering, Architecture, & Planning Technology, Data & Innovation",P,Student,18,19,Hourly
HRA/DEPT OF SOCIAL SERVICES,External,1,CONTRACT ANALYST,STAFF ANALYST,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),58152,71556,Annual
POLICE DEPARTMENT,Internal,2,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
NYC HOUSING AUTHORITY,Internal,3,Field Inspector,SUPERVISOR OF MECHANICAL INSTA,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),57078,85646,Annual
NYC HOUSING AUTHORITY,Internal,1,Supervisor Electrician,SUPERVISOR ELECTRICIAN,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),67.72,67.72,Hourly
HRA/DEPT OF SOCIAL SERVICES,Internal,1,BUSINESS INTELLIGENCE SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Policy, Research & Analysis Social Services",F,Experienced (non-manager),81951,94244,Annual
HUMAN RIGHTS COMMISSION,Internal,1,Supervising Attorney - SOI Unit,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,95000,95000,Annual
LAW DEPARTMENT,Internal,1,Clerical Associate- Appeals,CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),35330,40629,Annual
LAW DEPARTMENT,Internal,1,Clerical Associate- Appeals,CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),35330,40629,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,ASSISTANT DEPUTY COMMISSIONER/BUREAU OF REVENUE DEVELOPMENT AUTOMATION,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis Social Services",F,Manager,111127,145230,Annual
TAXI & LIMOUSINE COMMISSION,External,1,Curriculum Development Specialist,STAFF ANALYST,Competitive-1,"Constituent Services & Community Programs Policy, Research & Analysis",F,Experienced (non-manager),62470,80008,Annual
DEPARTMENT OF TRANSPORTATION,External,2,Project Manager,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80557,111917,Annual
DEPARTMENT OF CORRECTION,Internal,1,Policy Analyst,COMMUNITY COORDINATOR,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),54100,62215,Annual
CIVILIAN COMPLAINT REVIEW BD,Internal,1,Communications Director,ADMINISTRATIVE BUSINESS PROMOT,Competitive-1,Constituent Services & Community Programs,F,Manager,56990,156829,Annual
DEPARTMENT OF SANITATION,External,1,Geospatial Developer,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),98901,149277,Annual
DISTRICT ATTORNEY RICHMOND COU,External,1,Deputy Director of Human Capital,ADMINISTRATIVE MANAGER,Competitive-1,Administration & Human Resources,F,Manager,80000,90000,Annual
MAYORS OFFICE OF CONTRACT SVCS,External,2,"Data Engineer, Chief Technology Office",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Technology, Data & Innovation",F,Manager,90000,110000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,ATTORNEY II,AGENCY ATTORNEY,Non-Competitive-5,Social Services,F,Manager,71423,107032,Annual
LAW DEPARTMENT,Internal,3,"CLERICAL ASSOCIATE -  FAMILY COURT, ICSU",CLERICAL ASSOCIATE,Competitive-1,Legal Affairs,F,Experienced (non-manager),36390,41848,Annual
DEPT OF PARKS & RECREATION,External,1,Interagency Coordinator,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),70000,77000,Annual
NYC HOUSING AUTHORITY,Internal,1,Chief,EXECUTIVE AGENCY COUNSEL,Non-Competitive-5,Legal Affairs,F,Manager,58700,122000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Civil Engineering Intern,CIVIL ENGINEERING INTERN,Competitive-1,"Administration & Human Resources Policy, Research & Analysis",F,Experienced (non-manager),51413,62260,Annual
DEPARTMENT OF SANITATION,External,1,ELECTRICIAN (AUTOMOBILE),ELECTRICIAN (AUTOMOBILE),Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),298.24,347.2,Daily
OFFICE OF THE COMPTROLLER,External,1,Custodial Assistant (Part-Time),CITY CUSTODIAL ASSISTANT,Labor-3,Administration & Human Resources,P,Entry-Level,17.67,17.67,Hourly
DEPT OF CITYWIDE ADMIN SVCS,External,1,"ASSOCIATE PROGRAM MANAGER / PROGRAM MANAGER, PROJECT DELIVERY VEHICLES",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Manager,84468,97138,Annual
DEPARTMENT OF CORRECTION,Internal,1,CHAPLAIN (STAFF CHAPLAIN),CHAPLAIN,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),51022,58675,Annual
NYC EMPLOYEES RETIREMENT SYS,External,1,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,54643,150371,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,BUSINESS INTELLIGENCE SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Policy, Research & Analysis Social Services",F,Experienced (non-manager),81951,94244,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,FIA REGIONAL/ADMINISTRATIVE OFFICE LIAISON,ASSOCIATE JOB OPPORTUNITY SPEC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),67000,77050,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Unit Head  Stimulus Policy and Program,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,103307,103307,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Executive Director, Health Policy, Bureau of Primary Care Access & Planning",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),90084,130939,Annual
MAYORS OFFICE OF CONTRACT SVCS,Internal,3,"Senior Analyst, Procurement Operations (Capital Reform)",RESEARCH PROJECTS COOR(MA)-MGR,Pending Classification-2,"Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,60000,70000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,PROJECT SPECIALIST,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),92194,106023,Annual
NYC HOUSING AUTHORITY,Internal,1,SUPERVISOR PLUMBER,SUPERVISOR PLUMBER,Competitive-1,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55.29,55.29,Hourly
DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,"Disease Investigation/Intervention Specialist, Bureau of Communicable Diseases",PUBLIC HEALTH EPIDEMIOLOGIST,Competitive-1,Health,F,Experienced (non-manager),55473,68898,Annual
HRA/DEPT OF SOCIAL SERVICES,External,1,ATTORNEY INTERNE,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs Social Services,F,Experienced (non-manager),62397,75760,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Senior Environmental Program Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Unit Head  Technology Budget & Management,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,103307,103307,Annual
DEPT OF DESIGN & CONSTRUCTION,External,1,Applications Support Specialist,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Engineering, Architecture, & Planning",,Experienced (non-manager),81951,94244,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,3,Financial Reviewer for the Division of Co-op Readiness & Technical Services,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,62215,Annual
NYC HOUSING AUTHORITY,External,1,AGENCY ATTORNEY INTERN,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual
DEPARTMENT OF CORRECTION,Internal,1,"Director, Strategic Initiatives",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
DEPARTMENT OF CORRECTION,Internal,5,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Assistant General Counsel,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual
HRA/DEPT OF SOCIAL SERVICES,External,7,CLIENT ADVOCATE,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),53057,61015,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,"DIRECTOR, RECRUITMENT STRATEGIES",ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),94715,136260,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Applications Developer,CERT IT DEVELOPER (APP),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),81951,111330,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Neighborhood Advisory Board / Community Action Board Liaison,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
DEPARTMENT OF TRANSPORTATION,External,2,Gardener,GARDENER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),43410,62479,Annual
MANHATTAN COMMUNITY BOARD #2,External,1,District Manager,DISTRICT MANAGER,Non-Competitive-5,Constituent Services & Community Programs,F,Manager,80000,85000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Space Analyst,SPACE ANALYST,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,Experienced (non-manager),57078,85646,Annual
HUMAN RIGHTS COMMISSION,External,1,Mediation Coordinator,COMMUNITY COORDINATOR,Non-Competitive-5,"Legal Affairs Policy, Research & Analysis",F,Experienced (non-manager),54100,83981,Annual
NYC HOUSING AUTHORITY,Internal,1,Data Analyst,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Policy, Research & Analysis",,Experienced (non-manager),85000,110000,Annual
CAMPAIGN FINANCE BOARD,External,1,EXECUTIVE DIRECTOR,EXECUTIVE DIRECTOR (CAMPAIGN F,Unclassified Service-6,Administration & Human Resources,F,Executive,200000,250000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
DEPARTMENT OF CORRECTION,Internal,1,Assistant General Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
OFFICE OF EMERGENCY MANAGEMENT,External,1,DEPUTY DIRECTOR OF COMMUNICATIONS,EMERGENCY PREPAREDNESS MANAGER,Pending Classification-2,Communications & Intergovernmental Affairs,F,Manager,85000,91000,Annual
HRA/DEPT OF SOCIAL SERVICES,External,2,COMPUTER TECHNICIAN,COMPUTER SERVICE TECHNICIAN (C,Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),44404,51065,Annual
NYC HOUSING AUTHORITY,External,1,Deputy Director,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Policy, Research & Analysis Social Services",F,Manager,102292,163512,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Energy Senior Project Manager (Capital Projects),ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,85000,100000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Assistant Director of Capacity Building and Planning,  Bureau of Bronx Neighborhood Health",CITY RESEARCH SCIENTIST,Non-Competitive-5,Health,F,Experienced (non-manager),75504,93776,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,3,Examiner,TESTS AND MEASUREMENT SPECIAL,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),62204,71535,Annual
DEPARTMENT OF CITY PLANNING,External,1,ASSOCIATE PROJECT MANAGER,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65208,74989,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Executive Director of Internal Audit,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),94715,125500,Annual
DEPT OF PARKS & RECREATION,Internal,2,Surveyor,SURVEYOR,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62415,71777,Annual
DEPT OF PARKS & RECREATION,Internal,2,Surveyor,SURVEYOR,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62415,71777,Annual
DEPT OF DESIGN & CONSTRUCTION,Internal,2,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,Legal Affairs,F,Student,15.5,16.02,Hourly
DEPARTMENT OF CORRECTION,Internal,1,Investigator,INVESTIGATOR (DISCIPLINE) (DOC,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60213,69245,Annual
DEPARTMENT OF CORRECTION,Internal,6,Senior Stationary Engineer C,SENIOR STATIONARY ENGINEER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),581.12,581.12,Daily
LAW DEPARTMENT,Internal,2,"Assistant Corporation Counsel, Special Federal Litigation",ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),75121,133040,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Transit (MTA and TLC),BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,65604,83399,Annual
LAW DEPARTMENT,Internal,1,Network Engineer - IT Division,CERTIFIED IT ADMINISTRATOR (LA,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),98901,120000,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,2,Space Planner,ASSISTANT ARCHITECT,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,82500,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Associate Commissioner for Neighborhood Strategies,DEPUTY COMMISSIONER (HOUSING P,Exempt-4,"Policy, Research & Analysis",F,Executive,165970,165970,Annual
POLICE DEPARTMENT,Internal,1,Senior Police Administrative Aide,SENIOR POLICE ADMINISTRATIVE A,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Scanning Operator, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Competitive-1,Health,F,Experienced (non-manager),40017,46019,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,Energy Senior Project Manager (Capital Projects),ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,"Engineering, Architecture, & Planning",F,Manager,85000,100000,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Managerial Lump Sum Associate- Silver Stars Program,ASSISTANT BUDGET ANALYST (COMP,Pending Classification-2,Administration & Human Resources,P,Experienced (non-manager),30,30,Hourly
DEPT OF ENVIRONMENT PROTECTION,External,1,Engineering Technician,ENGINEERING TECHNICIAN,Competitive-1,"Engineering, Architecture, & Planning",,Experienced (non-manager),42114,48431,Annual
PRESIDENT BOROUGH OF MANHATTAN,Internal,1,Constituent Services Liaison,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,54100,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Assistant Analyst  Financial & Personnel Planning Systems & Budget Publications,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,51550,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Borough Planner - MANHATTAN,COMMUNITY COORDINATOR,Non-Competitive-5,"Constituent Services & Community Programs Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual
OFFICE OF THE COMPTROLLER,Internal,1,Associate- Community Action Center,COMMUNITY ASSOCIATE,Non-Competitive-5,Communications & Intergovernmental Affairs,F,Experienced (non-manager),45000,50000,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Product Owner/Business Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),97138,105000,Annual
CONSUMER AND WORKER PROTECTION,External,1,Customer Service Representative,CLERICAL ASSOCIATE,Competitive-1,Constituent Services & Community Programs,F,Experienced (non-manager),32850,40017,Annual
CONSUMER AND WORKER PROTECTION,External,1,Deputy Director,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),60718,90000,Annual
DEPT OF DESIGN & CONSTRUCTION,External,3,Design Engineer,ASSISTANT CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual
DEPARTMENT OF CORRECTION,Internal,3,Technical Project Manager,IT PROJECT SPECIALIST,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),120000,130000,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,2,Associate Park Service Worker,ASSOCIATE PARK SERVICE WORKER,Competitive-1,Building Operations & Maintenance,,Entry-Level,21.76,21.76,Hourly
TAXI & LIMOUSINE COMMISSION,Internal,1,Program Data Manager,STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Experienced (non-manager),65000,80008,Annual
DEPT OF ENVIRONMENT PROTECTION,External,8,Civil Engineering Intern,CIVIL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,51413,59125,Annual
NYC EMPLOYEES RETIREMENT SYS,Internal,1,COMPUTER SYSTEMS MANAGER,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Entry-Level,54643,150371,Annual
